elder_name,youth_name,elder_district,youth_district,zone,jaccard_score,distance_km,final_score,shared_interests
Ng Ming Yuet,Lau Man Yi,Hiu Lai Court,Yau Chui Court,0,0.7,0.7285862921350426,0.6817761133375235,cooking; food_social; games; karaoke; mahjong; music; songs
Lee Wai Ling,Leung Ka Ching,Yan Ming Court,Tseung Kwan O Plaza,0,0.7,0.8404342483970628,0.6765025041675047,chess; chinese; companionship; games; park; walk; walking
Ng Chi Keung,Leung Ka Ching,The Wings,Tseung Kwan O Plaza,0,0.7,1.1853826119136754,0.6636378665146646,chess; chinese; companionship; games; park; walk; walking
Chow Ming Yuet,Lau Man Yi,Sau Mau Ping Estate,Yau Chui Court,0,0.7,1.8331104896262211,0.6479453406597601,cooking; food_social; games; karaoke; mahjong; music; songs
Leung Lai Kwan,Cheung Sze Wing,On Ning Garden,The Grandiose,0,0.6666666666666666,1.03283322747181,0.6404553070592441,arts; calligraphy; chess; chinese; games; reading
Chan Lai Kwan,Lee Yuk Ting,Greenwood Terrace,Kornhill,0,0.7,2.4113015544394627,0.6389714864271645,cooking; food_social; games; karaoke; mahjong; music; songs
Yip Pak Kuen,Lam Tsz Wai,Grand Promenade,Metropole Building,0,0.7,2.51632650371897,0.6376581547081466,chess; chinese; companionship; games; park; walk; walking
Leung Ming Yuet,Cheung Man Yi,Yuk Ming Court,Shun Tin Estate,0,0.7,4.572223581995424,0.6219192357041575,chess; chinese; cooking; food_social; games; light_exercise; stretching
Cheung Ka Yan,Tang Ho Yin,On Ning Garden,Wo Lok Estate,0,0.6923076923076923,3.964032433192145,0.6186789075095368,chess; chinese; games; karaoke; music; park; songs; walk; walking
Lam Mei Lin,Lam Tsz Wai,Island Resort,Metropole Building,0,0.7,5.498910573944698,0.6180807915100996,chess; chinese; companionship; games; park; walk; walking
Ho Yat Fung,Cheung Sze Wing,Ko Cheung Court,The Grandiose,0,0.6666666666666666,2.043687155086232,0.6159489983771839,arts; calligraphy; chess; chinese; games; reading
Leung Ka Yan,Tang Yan Ting,Po Lam Estate,Residence Oasis,0,0.6153846153846154,0.6338182053689894,0.6148864031690631,arts; calligraphy; chess; chinese; companionship; food_social; games; tea
Leung Sze Man,Cheung Man Yi,Kai Tsui Court,Shun Tin Estate,0,0.7,7.12612944800086,0.6134589724985124,chess; chinese; cooking; food_social; games; light_exercise; stretching
Lam Lai Kwan,Tang Tsz Wai,Yee Ming Estate,Ko Cheung Court,0,0.6666666666666666,2.7543900543017292,0.606619894176454,chess; chinese; cooking; food_social; games; park; walk; walking
Wong Lai Kwan,Ho Tsz Ho,Yuk Ming Court,East Point City,0,0.6153846153846154,0.9216229975176751,0.6011359389160174,karaoke; light_exercise; music; park; songs; stretching; walk; walking
Chow Mei Lin,Chow Man Yi,The Wings,Metro City,0,0.6363636363636364,1.7449710881110976,0.5955544752082821,arts; calligraphy; games; karaoke; mahjong; music; songs
Ng Yee Kwan,Leung Yiu Tung,Ming Tak Estate,Po Ming Court,0,0.5833333333333334,0.5862024834843526,0.5903988138200997,arts; calligraphy; chess; chinese; games; light_exercise; stretching
Lee Sze Man,Ho Wai Man,Fortress Garden,Tong Ming Court,0,0.6666666666666666,6.319434566894652,0.5871600529561541,arts; calligraphy; companionship; karaoke; music; songs
Leung Lai Kwan,Lam Hiu Lam,Choi Ying Estate,Hing Man Estate,0,0.6666666666666666,7.032361321347691,0.5853411253966722,chess; chinese; games; karaoke; light_exercise; music; songs; stretching
Ng Sze Man,Chan Wing Sze,Oscar By The Sea,Ming Tak Estate,0,0.5833333333333334,1.0085677050671678,0.5705134148768051,chess; chinese; games; park; reading; walk; walking
Lau Ming Yuet,Lam Hiu Lam,Shun Tin Estate,Po Pui Court,0,0.5555555555555556,0.6048241188800155,0.5656904086953187,chess; chinese; cooking; food_social; games
Yip Hoi Yan,Ng Pak Hei,Choi Ming Court,East Point City,0,0.5833333333333334,1.1683043659560357,0.5650118132345454,karaoke; music; park; reading; songs; walk; walking
Wong Kwok Wai,Cheung Yan Ting,Hong Sing Garden,Hiu Lai Court,0,0.5833333333333334,1.2626363999950132,0.5621276791682764,cooking; food_social; karaoke; light_exercise; music; songs; stretching
Lee Lai Kwan,Lau Man Yi,Cheung Wo Court,Yau Chui Court,0,0.5833333333333334,1.279603645497029,0.5616342458280557,cooking; food_social; games; karaoke; mahjong; music; songs
Lam Ming Yuet,Chow Wai Man,Yan Ming Court,Residence Oasis,0,0.5714285714285714,1.0209646802816104,0.5599362656744195,companionship; cooking; food_social; light_exercise; park; stretching; walk; walking
Cheung Chun Wah,Ng Yan Ting,Kwong Ming Court,Fu Ning Garden,0,0.5555555555555556,0.7901274122196509,0.5560151405229419,arts; calligraphy; chess; chinese; games
Chan Kam Ming,Lam Tsz Wai,Lai Tak Tsuen,Metropole Building,0,0.5454545454545454,0.6613292796394629,0.5539255085026676,chess; chinese; games; park; walk; walking
Wong Hoi Yan,Chow Wing Sze,Bedford Gardens,Hong Pak Court,0,0.6,3.1491412337673887,0.5461520593175376,centre; community; karaoke; music; reading; songs
Ho Lai Kwan,Lam Hiu Lam,Po Ming Court,Lei Yue Mun Estate,0,0.5714285714285714,1.5513719608285415,0.5445061836825021,digital_help; karaoke; music; park; smartphone; songs; walk; walking
Wong Kin Man,Wong Kwok Him,East Point City,Yiu Tung Estate,0,0.6153846153846154,6.6477875674946665,0.542690438577477,arts; calligraphy; karaoke; music; park; songs; walk; walking
Yip Tak Ming,Leung Yiu Tung,Po Tat Estate,Po Ming Court,0,0.5833333333333334,2.209603553128423,0.5425680772096585,arts; calligraphy; chess; chinese; games; light_exercise; stretching
Chan Pak Kuen,Cheung Man Yi,Lam Tin Estate,Ming Wah Dai Ha,0,0.6,3.8283840527084947,0.5410662943052049,karaoke; light_exercise; music; reading; songs; stretching
Wong Yee Kwan,Chow Tsz Wai,Ming Tak Estate,East Point City,0,0.4666666666666667,0.08940179129500535,0.5343569120826306,food_social; light_exercise; park; stretching; tea; walk; walking
Wong Wing Chiu,Ng Yan Ting,Fu Ning Garden,Fu Ning Garden,0,0.5555555555555556,1.5082178007158578,0.5320256411905387,arts; calligraphy; chess; chinese; games
Leung Siu Fong,Chan Lok Yin,Sheung Tak Estate,Tak Tin Estate,0,0.5833333333333334,3.1631187894049013,0.5318640131164202,centre; community; digital_help; karaoke; music; smartphone; songs
