elder_name,youth_name,elder_district,youth_district,elder_zone,youth_zone,distance_km,used_global_fallback
Cheung Tak Ming,Lau Lok Yin,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.12427294979516022,False
Ng Chun Wah,Lau Yuk Ting,Sham Shui Po - Sham Shui Po,Sham Shui Po - Cheung Sha Wan,5,5,0.03306876320112314,False
Lee Pak Kuen,Leung Wing Sze,Kowloon City - Kowloon Tong,Wong Tai Sin - Lok Fu,5,5,0.07766973203745016,False
Leung Wing Chiu,Leung Man Yi,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Diamond Hill,5,5,0.04554456332049657,False
Tang Yat Fung,Lau Pak Hei,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.15871569359935916,False
Ho Siu Lan,Yip Lok Yin,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Wong Tai Sin,5,5,0.08193446636332367,False
Tang Sze Man,Chan Hiu Lam,Sha Tin - Sha Tin,Sha Tin - Sha Tin,5,5,0.05554501522657117,False
Ho Lai Kwan,Ng Ho Yin,Sham Shui Po - Cheung Sha Wan,Sham Shui Po - Cheung Sha Wan,5,5,0.08308055316372606,False
Ho Kin Man,Lau Hiu Lam,Wong Tai Sin - Chuk Yuen,Kowloon City - Kowloon Tong,5,5,0.07024871185641075,False
Wong Tak Ming,Cheung Man Yi,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Diamond Hill,5,5,0.024703035205388517,False
Tang Siu Lan,Leung Kwok Him,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.05774609636797878,False
Ho Wai Ling,Ho Yuk Ting,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.034754549633016885,False
Lam Chi Keung,Wong Yan Ting,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.06632580110994754,False
Ng Siu Fong,Chow Lok Yin,Kowloon City - Kowloon Tong,Kowloon City - Kowloon Tong,5,5,0.10161612200624917,False
Lee Yuk Lan,Chan Man Yi,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.05406798253683906,False
Ng Kwok Wai,Ng Yiu Tung,Wong Tai Sin - Lok Fu,Wong Tai Sin - Wong Tai Sin,5,5,0.0348470548074942,False
Ho Yat Fung,Yip Tsz Ho,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.12063963924499718,False
Lam Ming Yuet,Chow Tsz Ho,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.022536946456560247,False
Chow Yee Kwan,Chow Man Yi,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.12004909544884247,False
Yip Yat Fung,Wong Pak Hei,Kowloon City - Kowloon Tong,Wong Tai Sin - Lok Fu,5,5,0.07891130266377942,False
Tang Chi Keung,Yip Ka Ming,Sham Shui Po - Sham Shui Po,Sham Shui Po - Sham Shui Po,5,5,0.037160673484167815,False
Yip Yee Kwan,Tang Sze Wing,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.049993280959252435,False
Chow Lai Kwan,Lee Wai Man,Kowloon City - Ho Man Tin,Yau Tsim Mong - Yau Ma Tei,5,5,0.10311561201493694,False
Ho Yat Fung,Wong Yan Ting,Wong Tai Sin - Wong Tai Sin,Wong Tai Sin - Wong Tai Sin,5,5,0.07502933760447529,False
Lee Ka Yan,Cheung Man Yi,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Diamond Hill,5,5,0.12895800758909173,False
Ng Chi Keung,Ng Wing Sze,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.04830246389330156,False
Ng Mei Lin,Wong Yiu Tung,Kowloon City - Kowloon Tong,Kowloon City - Kowloon Tong,5,5,0.12284302929043749,False
Lau Siu Fong,Ng Yan Ting,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Wong Tai Sin,5,5,0.01496273510073672,False
Wong Pak Kuen,Chan Hiu Lam,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.06296302213798673,False
Yip Wing Chiu,Lee Ka Ching,Kowloon City - Ho Man Tin,Kowloon City - Ho Man Tin,5,5,0.0393850420792036,False
Wong Yat Fung,Lau Ka Ching,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.09458184414678543,False
Wong Siu Lan,Leung Ka Ching,Wong Tai Sin - Chuk Yuen,Wong Tai Sin - Chuk Yuen,5,5,0.0348902168945392,False
Leung Kam Ming,Cheung Ka Ming,Wong Tai Sin - Diamond Hill,Wong Tai Sin - Diamond Hill,5,5,0.012325455881071055,False
Lee Yuk Lan,Lee Hiu Lam,Wong Tai Sin - Lok Fu,Wong Tai Sin - Lok Fu,5,5,0.10806516738300767,False
