name,district,interests,age,longitude,latitude
Leung Pak Hei,Aberdeen Centre,Home visit companionship; Grocery escort; Board games; Old songs karaoke,22,114.154358,22.253406
Chan Tsz Wai,Aegean Coast,Home visit companionship; Park walk and chat; Old songs karaoke,19,113.990597,22.368208
Lau Tsz Ho,Affluence Garden,Home visit companionship; Park walk and chat; Mahjong companion; Grocery escort,28,113.982378,22.397281
Wong Ka Ming,Aldrich Garden,Community centre activities; Grocery escort; Clinic escort,29,114.228553,22.278039
Lam Wing Sze,Allway Gardens,Old songs karaoke; Board games; Cooking together,30,114.108295,22.383283
Lau Siu Tung,Amoy Gardens,Grocery escort; Photo sharing and memory talk; Board games,28,114.222659,22.331397
Tang Hiu Lam,Ap Lei Chau Estate,Cooking together; Phone and smartphone help; Park walk and chat,25,114.152829,22.238006
Wong Yiu Tung,Aqua Marine,Old songs karaoke; Board games; Home visit companionship,25,114.150327,22.333797
Chow Chi Ho,Avon Park,Mahjong companion; Home visit companionship; Tea time conversation; Park walk and chat; Photo sharing and memory talk,24,114.140909,22.492104
Yip Tsz Ho,Baguio Villa,Phone and smartphone help; Cooking together; Home visit companionship; Simple stretching session; Grocery escort,31,114.129678,22.26028
Ng Yiu Tung,Banyan Garden,Old songs karaoke; Grocery escort; Photo sharing and memory talk; Park walk and chat,21,114.144257,22.33062
Tang Yuk Ting,Bauhinia Garden,Simple stretching session; Cooking together; Calligraphy practice,21,114.258305,22.305874
Ng Wing Sze,Bayshore Towers,Board games; Photo sharing and memory talk; Old songs karaoke,28,114.232989,22.431525
Tang Ka Ming,Bayview Garden,Clinic escort; Chinese chess; Old songs karaoke,30,114.102436,22.362012
Lee Wai Man,Bedford Gardens,Photo sharing and memory talk; Home visit companionship; Chinese chess; Phone and smartphone help,26,114.210917,22.297171
Leung Lok Yin,Bel-Air,Grocery escort; Tea time conversation; Simple stretching session,21,114.126876,22.25605
Chow Yan Ting,Belair Gardens,Board games; Phone and smartphone help; Calligraphy practice,25,114.192139,22.386096
Chow Lok Yin,Belair Monte,Park walk and chat; Grocery escort; Old songs karaoke; Board games,29,114.141326,22.504806
Tang Wai Man,Bellagio,Mahjong companion; Simple stretching session; Chinese chess,20,114.062078,22.366435
Leung Wai Man,Belvedere Garden,Calligraphy practice; Cooking together; Mahjong companion,26,114.103251,22.375306
Ho Ka Ming,Beverly Garden,Mahjong companion; Cooking together; Tea time conversation; Park walk and chat; Photo sharing and memory talk,29,114.261168,22.314475
Wong Chi Ho,Braemar Hill Mansion,Clinic escort; Phone and smartphone help; Board games,27,114.201605,22.27826
Ng Hiu Lam,Broadview Court,Grocery escort; Board games; Phone and smartphone help; Home visit companionship,29,114.158996,22.250187
Ho Sze Wing,Broadview Garden,Old songs karaoke; Home visit companionship; Reading aloud; Simple stretching session; Chinese chess,28,114.102139,22.363461
